;NOMBRE_INSTITUCIÓN;CARÁCTER_ACADÉMICO;SECTOR;CÓDIGO_SNIES_DEL_PROGRAMA;CÓDIGO_ANTERIOR_ICFES;NOMBRE_DEL_PROGRAMA;ESTADO_PROGRAMA;RECONOCIMIENTO_DEL_MINISTERIO;CINE_F_2013_AC_CAMPO_AMPLIO;CINE_F_2013_AC_CAMPO_ESPECÍFIC;CINE_F_2013_AC_CAMPO_DETALLADO;ÁREA_DE_CONOCIMIENTO;NÚCLEO_BÁSICO_DEL_CONOCIMIENTO;NIVEL_ACADÉMICO;NIVEL_DE_FORMACIÓN;MODALIDAD;NÚMERO_CRÉDITOS;NÚMERO_PERIODOS_DE_DURACIÓN;DEPARTAMENTO_OFERTA_PROGRAMA;MUNICIPIO_OFERTA_PROGRAMA;SNIES;H2000-1;M2000-1;H2000-2;M2000-2;H2001-1;M2001-1;H2001-2;M2001-2;H2002-1;M2002-1;H2002-2;M2002-2;H2003-1;M2003-1;H2003-2;M2003-2;H2004-1;M2004-1;H2004-2;M2004-2;H2005-1;M2005-1;H2005-2;M2005-2;H2006-1;M2006-1;H2006-2;M2006-2;H2007-1;M2007-1;H2007-2;M2007-2;H2008-1;M2008-1;H2008-2;M2008-2;H2009-1;M2009-1;H2009-2;M2009-2;H2010-1;M2010-1;H2010-2;M2010-2;H2011-1;M2011-1;H2011-2;M2011-2;H2012-1;M2012-1;H2012-2;M2012-2;H2013-1;M2013-1;H2013-2;M2013-2;M2014-1;M2014-2;H2014-1;H2014-2;M2015-1;M2015-2;H2015-1;H2015-2;H2016-1;H2016-2;M2016-1;M2016-2;H2017-1;H2017-2;M2017-1;M2017-2;H2018-1;H2018-2;M2018-1;M2018-2;H2019-1;H2019-2;M2019-1;M2019-2;H2020-1;H2020-2;M2020-1;M2020-2;H2021-1;H2021-2;M2021-1;M2021-2;M2022-1;M2022-2;H2022-1;H2022-2;NOMBRE_DEL_PROGRAMA_DEPURADO
0;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;24;110146306201100111100;INGENIERIA AGRICOLA;Activo;Acreditación de alta calidad;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agrícola, forestal y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;24;50;22;40;10;49;13;31;14;48;15;33;19;34;21;38;22;47;12;44;18;38;15;37;7;47;17;42;25;52;14;44;11;44;25;32;7;34;24;34;12;60;16;58;20;66;16;34;17;55;21;63;16;54;20;45;19;17;13;43;52;17;27;53;62;41;53;17;25;63;74;20;17;79;78;24;27;69;60;19;28;66;63;26;26;53;37;35;40;34;32;45;43;INGENIERIA AGRICOLA
1;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;1;110146303331100111100;INGENIERIA AGRONOMICA;Activo;Acreditación de alta calidad;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agronómica, pecuaria y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;1;64;30;75;24;48;27;42;25;34;15;38;15;34;26;42;21;40;19;41;18;33;13;43;23;40;20;50;15;45;20;55;14;39;19;37;18;40;26;45;25;56;15;51;19;61;13;55;36;81;39;81;26;98;31;48;25;16;18;63;60;30;25;65;94;46;70;25;32;74;62;30;40;72;54;30;25;64;58;22;28;62;49;23;37;54;40;43;45;39;28;53;53;INGENIERIA AGRONOMICA
2;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;25;110146240001100111100;INGENIERIA CIVIL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;25;86;27;82;15;97;13;77;13;94;19;78;18;78;18;89;16;81;24;78;21;74;22;74;21;76;15;88;30;75;26;74;19;101;19;123;19;94;26;105;23;110;16;113;28;106;15;76;23;113;12;110;18;110;17;94;14;20;18;82;93;27;34;122;139;86;80;17;29;93;89;21;21;94;96;27;21;99;97;23;30;93;97;25;26;94;92;32;31;23;31;92;97;INGENIERIA CIVIL
4;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;106661;110140030001100111100;INGENIERIA DE SISTEMAS Y COMPUTACION;Activo;Acreditación de alta calidad;Tecnologías de la Información y la Comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Programas y certificaciones interdisciplinarios relativos a tecnologías de la información y la comunicación (TIC);Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitario;Presencial;0;10;Bogotá D.C.;Bogotá, D.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA SISTEMAS Y COMPUTACION
5;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;27;110146210301100111100;INGENIERIA ELECTRICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electricidad y energía;Ingeniería, arquitectura, urbanismo y afines;Ingeniería eléctrica y afines;Pregrado;Universitario;Presencial;167;10;Bogotá D.C.;Bogotá, D.C.;27;67;6;49;7;48;6;38;8;45;8;31;20;35;3;32;7;42;8;40;7;47;5;36;7;33;3;27;5;47;4;38;0;48;1;51;7;39;7;44;14;48;6;75;6;76;4;57;8;63;13;60;4;60;3;61;3;10;3;64;60;11;7;70;86;53;52;7;4;48;51;7;6;51;50;5;4;52;52;6;12;66;53;4;8;68;51;7;14;9;7;54;55;INGENIERIA ELECTRICA
6;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16941;110146210381100111100;INGENIERIA ELECTRONICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería electrónica, telecomunicaciones y afines;Pregrado;Universitario;Presencial;172;10;Bogotá D.C.;Bogotá, D.C.;16941;0;0;0;0;0;0;0;0;0;0;0;0;35;4;46;5;52;9;59;6;78;8;83;10;79;5;71;11;63;4;63;6;56;3;61;13;58;8;64;7;53;5;58;7;72;6;54;6;52;6;56;6;57;5;52;8;4;7;58;65;10;8;59;83;54;46;7;7;50;51;5;2;55;55;4;6;57;60;8;11;66;62;7;9;50;47;11;12;5;9;37;50;INGENIERIA ELECTRONICA
7;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16940;110146700421100111100;INGENIERIA INDUSTRIAL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Industria y procesamiento;Industria y procesamiento no clasificados en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería industrial y afines;Pregrado;Universitario;Presencial;168;10;Bogotá D.C.;Bogotá, D.C.;16940;0;0;0;0;0;0;0;0;0;0;0;0;29;10;33;11;36;12;35;10;35;12;25;21;31;8;37;10;33;6;33;10;29;11;37;10;37;13;33;18;42;11;44;18;47;17;42;17;48;18;52;14;51;9;41;12;14;9;27;36;8;22;51;64;33;35;13;15;29;39;16;12;41;35;9;10;40;39;14;14;37;41;12;18;38;34;25;21;20;18;15;32;INGENIERIA INDUSTRIAL
8;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;28;110146210001100111100;INGENIERIA MECANICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Mecánica y profesiones afines a la metalistería;Ingeniería, arquitectura, urbanismo y afines;Ingeniería mecánica y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;28;96;10;103;3;108;10;75;9;85;2;83;14;94;4;88;4;63;10;84;6;74;8;67;7;58;6;75;1;66;4;71;1;57;3;71;3;76;5;62;5;70;6;81;4;74;6;79;8;74;3;70;8;85;5;69;6;9;6;62;82;8;14;88;93;65;67;9;5;69;70;6;8;76;66;5;10;82;78;7;10;74;79;10;3;59;60;12;12;12;5;51;69;INGENIERIA MECANICA
9;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16939;110146290801100111100;INGENIERIA MECATRONICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería mecánica y afines;Pregrado;Universitario;Presencial;179;10;Bogotá D.C.;Bogotá, D.C.;16939;0;0;0;0;0;0;0;0;0;0;0;0;32;5;33;5;37;3;36;1;38;2;43;4;40;1;41;4;38;1;40;3;41;2;46;5;41;3;40;4;60;5;38;4;50;5;50;2;48;5;48;5;59;3;55;4;5;8;51;49;5;6;64;62;45;33;3;5;42;40;5;6;61;44;7;4;54;45;3;4;57;39;6;10;41;45;4;6;6;12;35;35;INGENIERIA MECATRONICA
10;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;29;110146600001100111100;INGENIERIA QUIMICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y procesos químicos;Ingeniería, arquitectura, urbanismo y afines;Ingeniería química y afines;Pregrado;Universitario;Presencial;180;10;Bogotá D.C.;Bogotá, D.C.;29;56;28;69;37;75;41;60;39;71;29;49;33;53;25;58;23;59;35;60;35;60;33;49;42;48;25;63;32;60;28;56;32;67;35;66;61;76;49;60;56;100;34;85;51;92;41;77;51;90;33;75;44;83;43;82;23;30;48;89;77;57;75;85;113;69;66;39;37;83;72;41;50;90;67;40;42;69;80;46;60;72;69;51;64;73;56;43;65;47;57;57;64;INGENIERIA QUIMICA
11;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;125;110246586200500111100;INGENIERIA ADMINISTRATIVA;Activo;Acreditación de alta calidad;Administración de Empresas y Derecho;Educación comercial y administración;Gestión y administración;Ingeniería, arquitectura, urbanismo y afines;Ingeniería administrativa y afines;Pregrado;Universitario;Presencial;167;10;Antioquia;Medellín;125;48;0;59;0;22;18;14;29;27;39;23;38;37;44;29;32;29;47;41;34;43;40;38;44;45;36;41;49;50;40;47;47;41;51;72;50;44;39;49;55;47;29;47;39;59;54;50;41;38;36;42;24;44;30;45;37;28;23;49;31;36;26;40;33;44;40;42;15;31;27;24;29;28;37;20;18;40;33;32;27;30;40;19;50;43;26;33;26;28;27;28;34;INGENIERIA ADMINISTRATIVA
12;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;116;110246306200500111100;INGENIERIA AGRICOLA;Activo;Acreditación de alta calidad;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agrícola, forestal y afines;Pregrado;Universitario;Presencial;180;10;Antioquia;Medellín;116;25;0;19;0;8;2;8;8;10;3;13;7;14;8;21;12;32;22;28;22;43;34;35;28;31;24;36;22;32;24;28;12;39;15;61;29;34;16;31;24;50;24;23;20;48;30;44;32;45;31;28;20;44;16;33;13;10;22;26;45;28;27;53;41;38;46;32;26;33;36;26;30;41;41;21;22;41;35;24;29;42;19;18;21;17;25;34;21;29;18;15;16;INGENIERIA AGRICOLA
13;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;113;110246303330500111100;INGENIERIA AGRONOMICA;Activo;Acreditación de alta calidad;Agropecuario, Silvicultura, Pesca y Veterinaria;Agropecuario;Producción agrícola y ganadera;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agronómica, pecuaria y afines;Pregrado;Universitario;Presencial;181;10;Antioquia;Medellín;113;25;0;19;0;12;8;5;5;21;11;10;7;30;14;36;29;37;22;37;22;48;31;33;31;32;26;36;20;35;21;32;14;28;16;45;36;26;24;36;25;50;29;30;16;49;26;28;29;47;30;30;16;22;8;16;8;7;10;18;26;18;25;25;25;23;30;20;29;40;39;11;22;42;41;24;30;52;38;27;34;47;26;16;25;34;34;33;33;28;21;32;28;INGENIERIA AGRONOMICA
14;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;55189;55189;INGENIERIA AMBIENTAL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería ambiental, sanitaria y afines;Pregrado;Universitario;Presencial;0;9;Antioquia;Medellín;55189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;16;35;40;17;22;18;18;22;12;21;13;19;17;11;31;23;20;34;27;27;27;28;40;31;19;17;26;24;27;33;22;26;31;31;22;32;29;22;23;22;32;21;18;33;27;32;28;9;12;INGENIERIA AMBIENTAL
15;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16921;110245740000500111100;INGENIERIA BIOLOGICA;Activo;Acreditación de alta calidad;Ciencias Naturales, Matemáticas y Estadística;Ciencias biológicas y afines;Bioquímica;Matemáticas y ciencias naturales;Biología, microbiología y afines;Pregrado;Universitario;Presencial;164;10;Antioquia;Medellín;16921;0;0;0;0;0;0;0;0;0;0;0;0;19;19;15;25;15;37;35;37;25;49;21;35;29;27;28;41;27;37;36;32;17;48;28;44;24;51;18;32;42;46;29;35;39;46;29;36;31;34;25;36;32;25;35;21;25;38;33;29;53;30;40;29;37;28;62;33;25;36;35;25;33;38;34;28;28;26;37;40;31;32;33;50;41;30;34;44;43;34;19;18;INGENIERIA BIOLOGICA
16;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;117;110246240000500111100;INGENIERIA CIVIL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;180;10;Antioquia;Medellín;117;99;0;106;0;55;23;47;31;66;19;43;27;82;20;55;27;56;18;61;16;59;34;54;20;73;20;56;26;70;24;63;24;67;22;54;31;70;21;74;37;70;20;59;32;102;29;81;32;56;25;61;8;72;23;73;24;18;26;69;70;22;30;102;72;100;63;30;30;76;77;20;18;70;67;19;24;83;78;23;28;61;80;16;28;65;69;28;30;24;22;50;70;INGENIERIA CIVIL
17;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16922;110240030500500111100;INGENIERIA DE CONTROL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería electrónica, telecomunicaciones y afines;Pregrado;Universitario;Presencial;177;10;Antioquia;Medellín;16922;0;0;0;0;0;0;0;0;0;0;0;0;40;6;36;3;33;17;39;14;42;11;36;10;40;14;37;12;39;8;36;12;30;9;39;9;36;10;17;12;41;7;37;9;44;10;36;6;30;10;23;7;47;9;41;11;11;12;37;52;13;10;56;53;49;42;16;10;51;54;10;12;50;44;19;15;54;39;7;19;51;26;7;9;35;33;10;11;10;8;36;31;INGENIERIA CONTROL
18;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;118;110246226690500111100;INGENIERIA DE MINAS Y METALURGIA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería de minas, metalurgia y afines;Pregrado;Universitario;Presencial;180;10;Antioquia;Medellín;118;23;0;28;0;28;7;14;9;25;12;14;3;20;14;20;18;25;14;31;4;27;18;34;14;32;9;25;9;42;8;33;6;31;8;32;7;33;14;23;13;28;8;33;6;45;8;27;12;31;11;27;7;38;10;42;15;14;20;47;48;26;17;79;41;56;33;25;26;46;35;12;18;38;26;14;10;33;32;21;11;30;29;8;12;27;31;17;14;17;19;26;24;INGENIERIA MINAS Y METALURGIA
19;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;119;110246220330500111100;INGENIERIA DE PETROLEOS;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería de minas, metalurgia y afines;Pregrado;Universitario;Presencial;174;10;Antioquia;Medellín;119;44;0;36;0;27;9;25;7;30;13;29;12;38;15;41;9;43;14;44;13;42;19;51;13;45;18;47;21;42;16;47;14;56;12;59;19;44;27;46;20;59;10;39;10;50;20;47;9;42;11;37;10;48;4;44;14;11;6;42;50;13;16;68;51;51;37;13;11;42;43;11;11;30;33;12;9;30;31;15;12;29;17;17;14;23;19;18;21;22;13;18;18;INGENIERIA PETROLEOS
20;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16925;110240030000500111100;INGENIERIA DE SISTEMAS E INFORMATICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitario;Presencial;168;10;Antioquia;Medellín;16925;0;0;0;0;0;0;0;0;0;0;0;0;65;19;48;8;56;23;53;5;83;16;61;15;68;12;81;16;83;10;78;7;91;11;83;6;73;10;72;11;77;8;62;5;93;8;73;8;66;4;66;5;61;2;48;6;8;8;53;57;7;3;86;67;92;92;10;4;73;75;5;8;82;80;13;6;92;86;6;6;64;83;14;15;79;84;15;17;11;12;61;92;INGENIERIA SISTEMAS E INFORMATICA
21;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;120;110246210300500111100;INGENIERIA ELECTRICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electricidad y energía;Ingeniería, arquitectura, urbanismo y afines;Ingeniería eléctrica y afines;Pregrado;Universitario;Presencial;178;10;Antioquia;Medellín;120;44;0;36;0;37;3;25;4;30;10;25;5;40;13;31;5;39;6;48;2;46;4;47;5;44;3;45;7;49;1;36;3;35;8;49;5;39;3;27;3;45;6;40;5;63;3;46;4;39;3;47;4;58;8;51;5;5;5;54;58;13;9;60;74;73;58;11;12;60;57;6;10;65;53;5;7;57;56;7;8;50;46;4;3;52;57;10;11;12;10;39;55;INGENIERIA ELECTRICA
22;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16923;110245306200500111100;INGENIERIA FISICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Otras ingenierías;Pregrado;Universitario;Presencial;173;10;Antioquia;Medellín;16923;0;0;0;0;0;0;0;0;0;0;0;0;19;9;19;7;25;12;29;6;33;13;28;12;32;6;20;17;27;12;19;7;23;9;43;8;28;7;31;11;48;15;41;11;40;14;59;9;44;10;43;20;50;9;37;15;11;10;44;52;14;14;65;60;59;47;22;15;58;47;14;10;49;41;9;14;46;36;10;10;37;38;8;10;39;31;11;14;12;8;29;26;INGENIERIA FISICA
23;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;124;110246346200500111100;INGENIERIA FORESTAL;Activo;Acreditación de alta calidad;Agropecuario, Silvicultura, Pesca y Veterinaria;Silvicultura;Silvicultura;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agrícola, forestal y afines;Pregrado;Universitario;Presencial;0;10;Antioquia;Medellín;124;40;0;43;0;20;19;25;4;29;17;22;22;25;33;28;20;27;29;27;29;27;33;29;24;34;32;32;24;30;36;23;7;27;19;49;35;29;20;20;21;40;36;29;44;58;30;38;42;27;35;25;20;18;18;28;24;21;31;32;42;35;44;39;36;51;20;40;29;33;35;29;19;27;30;23;32;23;27;32;29;20;24;26;32;19;30;30;27;32;19;16;17;INGENIERIA FORESTAL
24;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;126;110245516200500111100;INGENIERIA GEOLOGICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;180;10;Antioquia;Medellín;126;32;0;32;0;14;17;8;9;18;12;11;9;13;16;15;8;19;21;21;14;26;14;25;21;23;17;22;22;18;25;15;12;17;13;22;21;26;15;21;15;40;16;27;17;33;17;31;6;31;9;26;14;34;13;53;18;16;18;55;50;20;18;77;31;61;41;17;23;38;38;25;24;33;46;27;15;35;33;24;16;24;27;16;19;25;23;15;23;16;25;26;15;INGENIERIA GEOLOGICA
25;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;121;110246700420500111100;INGENIERIA INDUSTRIAL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería industrial y afines;Pregrado;Universitario;Presencial;176;10;Antioquia;Medellín;121;62;0;67;0;37;17;29;31;34;25;27;26;34;42;42;20;33;36;52;30;49;46;50;33;55;30;61;39;65;42;62;42;72;36;76;54;56;33;42;49;56;26;60;30;74;22;62;33;58;28;54;16;47;25;61;28;24;18;47;47;25;25;54;37;35;34;29;15;34;36;17;17;32;34;24;17;29;36;24;31;38;43;13;33;46;30;26;21;18;21;22;30;INGENIERIA INDUSTRIAL
26;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;122;110246210000500111100;INGENIERIA MECANICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Mecánica y profesiones afines a la metalistería;Ingeniería, arquitectura, urbanismo y afines;Ingeniería mecánica y afines;Pregrado;Universitario;Presencial;180;10;Antioquia;Medellín;122;53;0;50;0;33;3;37;6;47;5;49;6;60;13;48;4;52;7;60;7;83;13;79;8;88;5;76;7;81;2;80;6;71;6;91;11;82;5;73;6;70;2;80;6;80;7;91;8;60;10;61;1;47;3;54;3;11;3;50;63;9;10;75;75;89;70;23;6;65;74;10;3;69;58;6;11;60;73;8;6;56;80;6;9;56;69;5;3;6;7;60;58;INGENIERIA MECANICA
27;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;123;110246600000500111100;INGENIERIA QUIMICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería química y afines;Pregrado;Universitario;Presencial;175;10;Antioquia;Medellín;123;52;0;59;0;27;17;26;19;30;25;20;18;34;32;27;14;30;28;32;27;38;38;43;32;38;36;35;16;40;38;43;26;35;36;42;45;47;31;37;36;50;26;40;23;52;37;41;34;51;18;34;28;41;24;35;29;23;35;49;46;52;43;62;45;52;48;44;35;34;50;25;34;33;39;31;33;37;47;40;35;33;30;24;43;33;36;37;30;22;29;21;25;INGENIERIA QUIMICA
28;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;4121;110346240001700111100;INGENIERIA CIVIL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;179;10;Caldas;Manizales;4121;0;0;35;21;49;11;37;20;35;16;39;15;47;17;31;11;33;11;32;9;36;10;33;12;37;10;36;14;38;12;43;11;42;19;42;16;44;15;35;21;46;21;47;15;44;14;44;18;52;18;48;17;48;11;45;7;15;15;36;43;16;17;69;53;48;44;13;19;70;50;9;8;41;45;12;15;49;42;5;18;42;32;19;19;40;35;13;22;13;12;29;32;INGENIERIA CIVIL
29;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;4122;110346210301700111100;INGENIERIA ELECTRICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electricidad y energía;Ingeniería, arquitectura, urbanismo y afines;Ingeniería eléctrica y afines;Pregrado;Universitario;Presencial;164;10;Caldas;Manizales;4122;0;0;45;14;33;16;34;13;44;12;42;14;43;9;33;8;32;9;34;6;40;5;36;8;30;11;37;14;48;4;26;7;41;9;36;14;42;6;34;13;63;3;49;16;55;9;38;16;55;13;48;12;68;12;50;14;5;12;44;60;15;12;82;58;49;44;9;12;48;46;11;9;45;55;10;11;54;54;11;11;66;56;9;8;52;49;13;12;10;10;48;60;INGENIERIA ELECTRICA
30;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;4123;110346210381700111100;INGENIERIA ELECTRONICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería electrónica, telecomunicaciones y afines;Pregrado;Universitario;Presencial;161;10;Caldas;Manizales;4123;0;0;48;2;31;13;48;7;38;9;47;12;47;14;35;3;42;5;37;5;37;8;41;4;41;5;42;6;44;2;48;3;57;3;27;5;33;5;25;10;67;14;45;7;55;7;50;5;58;11;41;7;57;9;43;8;6;9;48;51;9;5;81;50;39;47;16;7;46;42;11;4;58;51;6;5;54;48;16;10;54;42;13;9;50;36;7;9;2;7;49;43;INGENIERIA ELECTRONICA
31;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;16915;110345300001700111101;INGENIERIA FISICA;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Otras ingenierías;Pregrado;Universitario;Presencial;170;10;Caldas;Manizales;16915;0;0;0;0;0;0;0;0;0;0;0;0;24;13;29;7;34;10;0;0;26;20;0;0;25;17;0;0;30;10;0;0;13;5;1;0;34;11;0;0;43;13;1;0;50;16;30;16;39;18;25;13;33;15;25;11;5;23;24;31;22;15;43;36;34;30;19;9;35;28;19;22;34;19;20;10;41;24;15;10;38;17;18;9;36;23;9;12;18;9;25;19;INGENIERIA FISICA
32;UNIVERSIDAD NACIONAL DE COLOMBIA;Universidad;Oficial;4124;110346700421700111100;INGENIERIA INDUSTRIAL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería industrial y afines;Pregrado;Universitario;Presencial;169;10;Caldas;Manizales;4124;0;0;0;0;27;20;30;31;35;17;22;22;30;23;22;19;29;14;26;14;33;13;25;21;28;19;25;14;21;18;30;14;40;17;20;27;26;30;28;30;37;31;37;13;31;21;25;31;42;23;30;19;32;19;25;12;12;17;35;28;21;22;48;33;31;31;18;21;38;34;15;15;34;48;19;24;37;48;22;12;41;32;28;24;29;32;28;20;29;22;25;26;INGENIERIA INDUSTRIAL
