;NOMBRE_INSTITUCIÓN;CARÁCTER_ACADÉMICO;SECTOR;CÓDIGO_SNIES_DEL_PROGRAMA;CÓDIGO_ANTERIOR_ICFES;NOMBRE_DEL_PROGRAMA;ESTADO_PROGRAMA;RECONOCIMIENTO_DEL_MINISTERIO;CINE_F_2013_AC_CAMPO_AMPLIO;CINE_F_2013_AC_CAMPO_ESPECÍFIC;CINE_F_2013_AC_CAMPO_DETALLADO;ÁREA_DE_CONOCIMIENTO;NÚCLEO_BÁSICO_DEL_CONOCIMIENTO;NIVEL_ACADÉMICO;NIVEL_DE_FORMACIÓN;MODALIDAD;NÚMERO_CRÉDITOS;NÚMERO_PERIODOS_DE_DURACIÓN;DEPARTAMENTO_OFERTA_PROGRAMA;MUNICIPIO_OFERTA_PROGRAMA;SNIES;H2000-1;M2000-1;H2000-2;M2000-2;H2001-1;M2001-1;H2001-2;M2001-2;H2002-1;M2002-1;H2002-2;M2002-2;H2003-1;M2003-1;H2003-2;M2003-2;H2004-1;M2004-1;H2004-2;M2004-2;H2005-1;M2005-1;H2005-2;M2005-2;H2006-1;M2006-1;H2006-2;M2006-2;H2007-1;M2007-1;H2007-2;M2007-2;H2008-1;M2008-1;H2008-2;M2008-2;H2009-1;M2009-1;H2009-2;M2009-2;H2010-1;M2010-1;H2010-2;M2010-2;H2011-1;M2011-1;H2011-2;M2011-2;H2012-1;M2012-1;H2012-2;M2012-2;H2013-1;M2013-1;H2013-2;M2013-2;M2014-1;M2014-2;H2014-1;H2014-2;M2015-1;M2015-2;H2015-1;H2015-2;H2016-1;H2016-2;M2016-1;M2016-2;H2017-1;H2017-2;M2017-1;M2017-2;H2018-1;H2018-2;M2018-1;M2018-2;H2019-1;H2019-2;M2019-1;M2019-2;H2020-1;H2020-2;M2020-1;M2020-2;H2021-1;H2021-2;M2021-1;M2021-2;M2022-1;M2022-2;H2022-1;H2022-2;NOMBRE_DEL_PROGRAMA_DEPURADO
1834;UNIVERSIDAD CATÓLICA LUIS AMIGÓ;Universidad;Privado;104701;104701;INGENIERIA INDUSTRIAL;Activo;Registro calificado;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería industrial y afines;Pregrado;Universitario;Presencial;167;10;Caldas;Manizales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA INDUSTRIAL
1836;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;Institución Universitaria/Escuela Tecnológica;Privado;108790;108790;INGENIERIA AMBIENTAL;Activo;Registro calificado;Ciencias Naturales, Matemáticas y Estadística;Medio ambiente;Ciencias del medio ambiente;Matemáticas y ciencias naturales;Geología, otros programas de ciencias naturales;Pregrado;Universitario;Presencial;154;9;Boyacá;Tunja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA AMBIENTAL
1837;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;Institución Universitaria/Escuela Tecnológica;Privado;104467;104467;INGENIERIA CIVIL;Activo;Registro calificado;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;150;9;Boyacá;Tunja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA CIVIL
1839;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;Institución Universitaria/Escuela Tecnológica;Privado;7824;272040030001500111100;INGENIERIA DE SISTEMAS;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitario;Presencial;150;10;Boyacá;Tunja;7824;0;0;0;0;12;7;9;1;24;12;14;5;23;16;16;6;15;11;6;12;6;7;6;4;7;8;7;4;14;7;9;4;18;7;6;5;24;10;11;3;16;7;4;1;15;4;14;7;24;5;13;3;17;4;14;5;7;4;16;11;3;6;25;15;30;21;7;6;47;21;10;4;38;15;4;3;32;13;10;4;32;7;7;2;25;28;7;2;7;5;34;22;INGENIERIA SISTEMAS
1841;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;Institución Universitaria/Escuela Tecnológica;Privado;103408;103408;INGENIERIA ELECTRONICA;Activo;Registro calificado;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Electrónica y automatización;Ingeniería, arquitectura, urbanismo y afines;Ingeniería electrónica, telecomunicaciones y afines;Pregrado;Universitario;Presencial;150;9;Boyacá;Tunja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA ELECTRONICA
1842;FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS;Institución Universitaria/Escuela Tecnológica;Privado;109062;109062;INGENIERIA INDUSTRIAL;Activo;Registro calificado;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y procesos químicos;Ingeniería, arquitectura, urbanismo y afines;Ingeniería química y afines;Pregrado;Universitario;Presencial;139;8;Boyacá;Tunja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA INDUSTRIAL
1844;FUNDACION UNIVERSITARIA MARIA CANO;Institución Universitaria/Escuela Tecnológica;Privado;104471;104471;INGENIERIA DE SOFTWARE;Activo;Registro calificado;Tecnologías de la Información y la Comunicación (TIC);Tecnologías de la Información y la Comunicación (TIC);Desarrollo y análisis de software y aplicaciones;Ingeniería, arquitectura, urbanismo y afines;Ingeniería de sistemas, telemática y afines;Pregrado;Universitario;Presencial;155;9;Antioquia;Medellín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA SOFTWARE
1845;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;Institución Universitaria/Escuela Tecnológica;Privado;53702;53702;INGENIERIA AGROINDUSTRIAL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agroindustrial, alimentos y afines;Pregrado;Universitario;Presencial;166;10;Bogotá D.C.;Bogotá, D.C.;53702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;18;12;0;34;15;0;0;0;0;0;0;60;70;10;8;13;21;9;5;7;6;10;8;8;5;9;5;9;6;10;7;8;3;7;0;7;2;4;2;7;4;7;2;12;7;21;13;3;8;7;7;5;10;7;4;INGENIERIA AGROINDUSTRIAL
1846;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;Institución Universitaria/Escuela Tecnológica;Privado;107463;107463;INGENIERIA AMBIENTAL;Activo;Registro calificado;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería ambiental, sanitaria y afines;Pregrado;Universitario;Presencial;153;9;Bogotá D.C.;Bogotá, D.C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;INGENIERIA AMBIENTAL
1847;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;Institución Universitaria/Escuela Tecnológica;Privado;1883;272346240001100111100;INGENIERIA CIVIL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;170;10;Bogotá D.C.;Bogotá, D.C.;1883;17;6;10;0;15;5;6;4;14;4;15;7;13;2;8;2;15;11;10;3;9;4;11;4;6;2;6;5;29;3;36;8;61;13;37;12;85;15;64;0;136;10;37;11;81;287;76;265;501;146;129;33;143;48;79;9;18,5;18,5;65,5;64;37,5;20;96;48;67;27,5;27,5;14;48;22,5;22,5;7,5;44,5;40;20;12;31;22;8,5;8;25;12;8,5;4,5;18;18;8,5;10,5;8;12;21;18;INGENIERIA CIVIL
1848;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;Institución Universitaria/Escuela Tecnológica;Privado;1883;272346240001100111100;INGENIERIA CIVIL;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Arquitectura y construcción;Construcción e ingeniería civil;Ingeniería, arquitectura, urbanismo y afines;Ingeniería civil y afines;Pregrado;Universitario;Presencial;170;10;Bogotá D.C.;Bogotá, D.C.;1883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;18,5;18,5;65,5;64;37,5;20;96;48;67;27,5;27,5;14;48;22,5;22,5;7,5;44,5;40;20;12;31;22;8,5;8;25;12;8,5;4,5;18;18;8,5;10,5;8;12;21;18;INGENIERIA CIVIL
1849;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;Institución Universitaria/Escuela Tecnológica;Privado;1884;272346640001100111100;INGENIERIA DE ALIMENTOS;Activo;Acreditación de alta calidad;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería agroindustrial, alimentos y afines;Pregrado;Universitario;Presencial;170;10;Bogotá D.C.;Bogotá, D.C.;1884;3;20;7;9;6;13;3;12;5;9;3;13;7;13;7;13;9;24;11;5;9;18;6;9;5;21;5;3;7;19;12;11;15;29;13;15;15;24;14;0;27;20;13;15;59;228;55;208;69;130;22;26;18;31;4;14;22;4;12;11;14;7;17;3;13;4;16;12;7;6;16;14;1;6;8;5;4;10;9;17;4;4;12;4;10;3;11;6;7;4;3;4;INGENIERIA ALIMENTOS
1850;FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-;Institución Universitaria/Escuela Tecnológica;Privado;9502;272346700421100111100;INGENIERIA INDUSTRIAL;Activo;Registro calificado;Ingeniería, Industria y Construcción;Ingeniería y profesiones afines;Ingeniería y profesiones afines no clasificadas en otra parte;Ingeniería, arquitectura, urbanismo y afines;Ingeniería industrial y afines;Pregrado;Universitario;Presencial;162;10;Bogotá D.C.;Bogotá, D.C.;9502;0;0;11;7;12;7;6;7;8;15;6;8;18;10;10;9;20;18;11;5;13;6;8;4;11;4;6;3;29;21;23;19;68;26;42;36;61;34;66;0;116;24;42;36;104;413;98;392;299;199;59;37;82;51;28;23;47;28;43;32;40;25;33;38;37;13;16;14;11;3;12;4;18;6;8;2;14;5;3;3;11;19;4;11;13;13;3;6;4;5;5;7;INGENIERIA INDUSTRIAL
